"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","110.09813136228","168.243575693464","254.317818720491","128.843916652621","117.417210987489","158.662260402713","183.156688772846","208.591425311847","231.220030166776","205.838039365422","193.444449758164","202.586857100633","230.192672648742","219.442697157195","239.53280932236","254.761293063881","268.984830921147","287.334746936955","275.5268362452","276.540789806202","284.227079978742","284.552876398631","312.652792291426","372.87957311261","380.613295311187","386.414982152588","389.158098068995","398.007724114109","393.779371464278","395.867095663347","428.206334078614","457.830073990422","481.152185528345","491.51923697772","543.139617012529","627.292834513504","695.000649938038","774.484750926714","850.1471961599","876.146647691614","972.681731440576","1091.84390977884","1217.56906235098","1360.05849776012","1493.60306499034","1626.14619140293","1916.369050097","2031.66750176705","",
"Bulgaria","BGR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1887.87584524177","1897.23979543211","1842.91569391564","1583.20751664572","1681.77595381882","1635.03113359598","1929.97788074031","2664.2370112278","2091.3475144251","2030.46250191964","1831.1002241401","955.549062469306","1029.53177492174","1079.86944342138","1001.34145225752","2062.47383623358","1321.51287041763","1231.08788515255","1600.7347940264","1439.8405152509","1373.51876774311","1546.33251774678","1857.54028190962","2371.21426191615","2944.50692142887","3322.1289530834","3733.94355487286","4613.38340383416","5973.43149337682","5759.73128062308","5619.96331664672","6408.25441296843","6242.32243753805","6421.40970851494","6642.99020615026","5819.9339794763","6238.10719179096","6971.01876209471","7755.4167177931","8187.53905449735","8419.71223204683","",
"Bahrain","BHR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","6242.5365797529","7563.06502328159","7848.92394810702","7851.62172105274","7702.88143794572","5449.32272872278","4690.35622055977","5151.90005905283","5757.63908386386","5868.77489430838","7448.80988747542","8115.93356906341","7817.7774015082","7939.5671794449","8279.61738716272","8870.80645267528","9097.13906913063","8864.2983438356","8527.94032795992","8565.72578329079","11422.0941151445","10618.3626413787","10664.6424754236","11828.8672764705","13315.2224885261","15448.1637475979","16671.0068574342","18363.7675732421","19744.4884924432","15308.492333309","13718.7174851366","12442.0046108246","16298.2470757735","16661.3112381277","17034.9651615774","17254.1999869237","17983.40923124","18457.5848617855","17924.099018392","17644.5165573704","15598.9655444721","",
"Bahamas, The","BHS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","5403.24419433921","5529.26891932078","6138.57651947076","6625.21964869508","7679.72926445542","8614.72158844675","8979.0387679485","9797.6071666888","10074.9243293949","10990.0828984303","10959.0462449029","10597.4255352003","10737.7844442845","10266.4632914854","10546.0993309408","13098.43141465","14906.316057798","20276.4323566355","21536.6460886769","24097.3954263155","24838.2689455595","25044.9502007782","26395.3291754085","25950.3996221766","25978.1607034027","27716.6566194885","27901.2066834997","28655.0379681227","28275.7870433052","26079.2070624663","25765.6541666666","25448.6735871174","26735.0355640286","25734.3630779149","26579.0315751242","27517.5911972058","27538.5675963273","28564.4205920953","28784.1539337197","30034.9369018019","22404.7768487323","",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236.870822623152","377.689466479191","644.204817367461","852.68143018661","1233.62731027392","1343.37769448638","1487.77912304048","1525.77099368377","1729.62436179681","2126.75476477084","2643.67580186615","2783.52944098993","3153.77611645715","3773.05043825583","4654.43784963965","4274.38478355139","4051.13176564098","4338.89289723305","3989.95863097589","4322.44739998905","4413.11745126553","3922.08939145958","4154.0437107124","4487.34437795547","5055.29419162019","5127.41731220743","5058.60959840402","",
"Belarus","BLR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1517.61359575994","1137.73674406515","1247.10473679784","1188.76449941757","1303.06282920436","1035.90942881612","1089.46901863737","1069.02207219885","1274.47969414271","1572.88868686664","2042.35553077412","2698.90436391496","3296.59156212243","4027.0302879554","5378.97367634043","4496.62098772517","4993.13219461524","5460.4035707053","5729.92937413405","6460.13816825055","6805.46458910115","4809.08759789261","4057.83426249604","4696.38225043068","5144.99254957108","5563.94920531359","5133.34240216239","",
"Belize","BLZ","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1265.16160696596","1219.70889904625","1062.53152308594","1094.52042991409","1183.51769850888","1127.798751181","1230.30759158857","1455.15523021722","1621.38183327649","1819.56074063115","1999.33209689203","2109.2332688166","2412.07606912861","2553.24957869827","2599.54397966794","2715.85608999401","2723.94456613592","2697.64403599994","2710.76718810877","2716.47207933906","2651.80920385079","2633.17999878257","2740.98993063459","2772.84223794614","2812.28858734674","2893.61236675656","2990.63689709554","2914.83584209897","2912.98693835819","3088.1540553374","2941.09217345527","3114.27897761458","3225.12690764643","3351.62974674655","3483.94512492786","3740.22627857073","3770.13421132248","3797.46905306308","3768.64219935054","3832.08394600649","3219.7212181173","",
"Bermuda","BMU","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","480.725882465173","543.156642022018","605.297330387557","665.807912121568","634.787546238757","847.542003030652","784.957903893194","752.075758362822","853.695450469447","736.330494811741","530.922505983588","575.479089474831","590.136387557959","589.008623676191","601.089851930319","664.127773513794","696.342472684128","695.1029741532","708.259393195277","780.207015131477","848.11173193526","893.93081104867","951.588362086413","888.871078120584","862.358625732684","826.245292926642","785.443328103693","772.638499873289","787.489256589815","818.161999962666","945.359064176743","1062.65392299086","1390.53758238875","1464.30140512077","1592.8943115576","1864.59772697913","2024.5265339157","2263.06595776912","2464.17964488687","2577.46392383326","2650.1711056515","2802.57343821947","2960.52150646508","3012.13864323184","2528.9491009997","",
"Brazil","BRA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","396.60547089949","452.120629871127","526.455564326326","690.256515974352","891.064535849125","1008.37087495993","1213.97139253692","1358.92822521708","1499.5321090433","1636.66492761797","1637.37480008809","1776.97084742402","1833.45938812444","1267.29874706697","1280.51152141725","1336.3955048702","1625.29408078397","1749.22209155922","1922.77324822643","2167.83150192893","2151.25917035769","1879.8120500523","1768.5395006124","1949.83536504242","2794.58228960232","4079.4299972051","4420.81237868469","4438.96381574666","4149.65343700612","2761.01876293948","3042.01657000336","2545.81332754192","2270.1933418088","2449.54916788663","2918.36440528139","3822.99763025072","4738.94668961986","5954.81389639413","7033.77247725992","6791.19825361466","8674.47030999403","10009.1962983653","9109.02162649458","9200.32488119769","8999.82867729558","6483.9405197531","6382.21601307069","7414.80892499332","6764.53107322834","6615.91372269335","5123.41402484978","",
